"name","set_number","release_year","num_minifigs","retired"
"Bumblebee","10338",2024,0,FALSE
"Diver with Shark paper bag","952406",2024,0,FALSE
"Tournament Training Ground polybag","30675",2024,2,FALSE
"Cars and Trucks Brick Box","10439",2024,0,FALSE
"Ariel's Magical Underwater Palace","10435",2024,0,FALSE
"Spin's Motorcycle Adventure","10424",2024,0,FALSE
"Ariel and Flounder's Café Stand {Cafe}","10420",2024,0,FALSE
"Snow White's Jewelry Box","43276",2024,0,FALSE
"Retro Radio","10334",2024,0,FALSE
"Baby Gorilla Encounter polybag","30665",2024,1,FALSE
"Notre-Dame de Paris","21061",2024,0,FALSE
"Barad-Dûr","10333",2024,11,FALSE
"NASA Artemis Space Launch System","10341",2024,0,FALSE
"Minions' Jetboard polybag","30678",2024,1,FALSE
"Minions' Music Party Bus","75581",2024,4,FALSE
"Minions and Banana Car","75580",2024,4,FALSE
"Droideka","75381",2024,1,FALSE
"Mos Espa Podrace","75380",2024,0,FALSE
"Minions and Gru's Family Mansion","75583",2024,9,FALSE
"Brick-Built Gru and Minions","75582",2024,0,FALSE
"Inside Out 2 Mood Cubes","43248",2024,4,FALSE
"Minifigure, Series 26 (Complete Series of 12 Complete Minifigure Sets)","71046",2024,0,FALSE
"BARC Speeder Escape","75378",2024,4,FALSE
"Iron Spider-Man Construction Figure","76298",2024,0,FALSE
"Green Goblin Construction Figure","76284",2024,0,FALSE
"Governor Set","066",1968,0,TRUE
"Front-End Loader (Second Version with Type B Motor 12 x 4 x 3 1/3)","102A",1970,0,TRUE
"Universal Building Set - Nursery School Through Kindergarten (Universal Set for boys and girls from 1 1/2 years)","1040",1976,0,TRUE
"Baseplate with steering control tongue","1",1970,0,TRUE
"Universal Set for boys and girls from 1 1/2 years","1042",1976,0,TRUE
"MINI Cooper {Reissue}","10242",2015,0,FALSE
"Vehicle Suitcase","10659",2014,2,TRUE
"Universal Set for boys and girls from 6 years","1050",1976,0,TRUE
"Weetabix Promotional Lego Village","00",1976,0,TRUE
"4.5V Motor with Wheels (Large Version)","100",1966,0,TRUE
"Basic Building Set with Train","080",1967,0,TRUE
"Locomotive Wheels","10",1977,0,TRUE
"Basic Building Set","010",1968,0,TRUE
"Farm - 76 elements and a picture book {1986 version}","1040",1986,0,TRUE
"Special Offer","00",1985,0,TRUE
"Bulldozer Chain Links","1",1982,0,TRUE
"Velveeta Promotional Set No 1","1",1967,0,TRUE
"Mini-Wheel Model Maker No. 1","1",1971,0,TRUE
"Imagination Basic Set 2","102",1971,0,TRUE
"Jumbo Brick School Set","060",1968,0,TRUE
"Pre-School Beginners Set","105",1964,0,TRUE
"Imagination Master Set 5","105",1971,0,TRUE
"Imagination Deluxe Set 4","104",1971,0,TRUE
"Imagination Beginner Set 1","101",1971,0,TRUE
"Educational LEGO Building Set (Universal Set for boys and girls from 3 years)","1045",1976,0,TRUE
"Universal Building Set (Universal Set for boys and girls from 1 1/2 years)","1041",1980,0,TRUE
"Basic Souvenir Box","1",1981,0,TRUE
"Discovery Set","005",1967,0,TRUE
"Maersk Line Container Ship 2006 Edition","10152",2006,0,TRUE
"Super Value Set","102",1969,0,TRUE
"Basic Set","1",1973,0,TRUE
"4.5V Reversible Power Unit (Motor)","107",1971,0,TRUE
"Doll Furniture","022",1965,0,TRUE
"Super Set","088",1969,0,TRUE
"City Airport - Full Size Image Box","10159",2004,12,TRUE
"Maersk Sealand Container Ship 2005 Edition","10152",2005,0,TRUE
"Jumbo Bricks","044",1969,0,TRUE
"Ultimate Dume","10202",2004,0,TRUE
"Set No 1 - Quaker/Life Cereal","1",1969,0,TRUE
"Puppet Set - Quaker/Life Cereal","00",1969,0,TRUE
"Little House Set","1",1970,0,TRUE
"Santa Fe Super Chief, Limited Edition","10020",2002,2,TRUE
"Weetabix Promotional Windmill","00",1976,0,TRUE
"Weetabix Castle","00",1970,0,TRUE
"Weetabix Promotional House 2","00",1976,0,TRUE
"Imagination Standard Set 3","103",1971,0,TRUE
"Universal Joints","1014",1982,0,TRUE
"Chain Links","1",1980,0,TRUE
"Roadway Base Plate","078",1970,0,TRUE
"5 large base plates - Blue","063",1966,0,TRUE
"5 large base plates - Green","061",1966,0,TRUE
"14 flat plates - White","060",1966,0,TRUE
"Trees and Bushes","055",1966,0,TRUE
"Lighting Device Pack","050",1969,0,TRUE
"36 assorted basic bricks","045",1969,0,TRUE
"Pre-School Set","010",1973,0,TRUE
"Building Set","105",1973,0,TRUE
"Ambassador Set","080",1967,0,TRUE
"Basic Building Set","033",1968,0,TRUE
"Small Basic LEGO Set","1",1977,0,TRUE
"Pre-School Beginners Set","041",1964,0,TRUE
"Wooden Storage Box","1",1977,0,TRUE
"4.5V Motor Set (Universal Motor Set/Complete Motor Set)","107",1976,0,TRUE
"Medieval Town Square","10332",2024,8,FALSE
"2023 McLaren Formula 1 Car","76919",2024,1,FALSE
"Mercedes-AMG F1 W14 E Performance","42171",2024,0,FALSE
"Mercedes-AMG F1 W14 Pull-Back","42165",2024,0,FALSE
"McLaren MP4/4 & Ayrton Senna","10330",2024,1,FALSE
"Dragon Stone Shrine","71819",2024,6,FALSE
"Wolf Mask Shadow Dojo","71813",2024,8,FALSE
"Kai's Ninja Climber Mech","71812",2024,4,FALSE
"Arin's Ninja Off-Road Buggy Car","71811",2024,4,FALSE
"Young Dragon Riyu","71810",2024,3,FALSE
"Tantive IV","75376",2024,0,FALSE
"Millennium Falcon","75375",2024,0,FALSE
"Boarding the Tantive IV","75387",2024,7,FALSE
"R2-D2","75379",2024,2,FALSE
"Kawasaki Ninja H2R Motorcycle","42170",2024,0,FALSE
"Kingfisher Bird","10331",2024,0,FALSE
"Drill Spinner Vehicle","10792",2024,2,FALSE
"Spidey vs. Green Goblin","10793",2024,3,FALSE
"Team Spidey Web Spinner Headquarters","10794",2024,5,FALSE
"Mars Crew Exploration Rover","42180",2024,0,FALSE
"Talking Sorting Hat","76429",2024,1,FALSE
"Hedwig at 4 Privet Drive","76425",2024,0,FALSE
"Forbidden Forest: Magical Creatures","76432",2024,2,FALSE
"Hogwarts Castle Boathouse","76426",2024,5,FALSE
"Hagrid's Hut: An Unexpected Visit","76428",2024,5,FALSE
"Flying Ford Anglia","76424",2024,2,FALSE
"Hogwarts Castle Owlery","76430",2024,3,FALSE
"Isabela's Flowerpot","43237",2024,1,FALSE
"Mirabel's Photo Frame and Jewelry Box","43239",2024,1,FALSE
"Stitch","43249",2024,0,FALSE
"Mack at the Race","10417",2024,0,FALSE
"Elsa & Bruni in the Enchanted Forest","10418",2024,0,FALSE
"Kapp'n's Island Boat Tour","77048",2024,2,FALSE
"Julian's Birthday Party","77046",2024,1,FALSE
"Nook's Cranny & Rosie's House","77050",2024,2,FALSE
"Bunnie's Outdoor Activities","77047",2024,1,FALSE
"Isabelle's House Visit","77049",2024,2,FALSE
"Audi S1 e-tron quattro","76921",2024,1,FALSE
"Surface Space Loader LT78","42178",2024,0,FALSE
"NEOM McLaren Formula E Team","42169",2024,0,FALSE
"VTOL Heavy Cargo Spaceship LT81","42181",2024,0,FALSE
"Planet Earth and Moon in Orbit","42179",2024,0,FALSE
"Ford Mustang Dark Horse","76920",2024,1,FALSE
"BMW M4 GT3 & BMW M Hybrid V8","76922",2024,2,FALSE
"Lloyd's Elemental Power Mech","71817",2024,3,FALSE
"Kai's Source Dragon Battle","71815",2024,4,FALSE
"Atreides Royal Ornithopter","10327",2024,8,FALSE
"Daffodils","40747",2024,0,FALSE
"The Fauna Collection - Macaw Parrots","31211",2024,0,FALSE
"Venom Mech Armor vs. Miles Morales","76276",2024,2,FALSE
"Minifigure, Series 25 (Complete Random Set of 1 Minifigure)","71045",2024,1,FALSE
"Family Reunion Celebration","80113",2024,13,FALSE
"Auspicious Dragon","80112",2024,0,FALSE
"Rocket's Warbird vs. Ronan","76278",2024,2,FALSE
"Cherry Blossoms","40725",2024,0,FALSE
"X-Men X-Jet","76281",2024,4,FALSE
"Spider-Man Race Car & Venom Green Goblin","76279",2024,3,FALSE
"Spider-Man vs. Sandman: Final Battle","76280",2024,3,FALSE
"Motorcycle Chase: Spider-Man vs. Doc Ock","76275",2024,2,FALSE
"War Machine Mech Armor","76277",2024,1,FALSE
"Rocket & Baby Groot","76282",2024,1,FALSE
"3in1 Space Shuttle Adventure","10422",2024,0,FALSE
"Caring for Animals at the Farm","10416",2024,0,FALSE
"Caring for Bees & Beehives","10419",2024,0,FALSE
"Buildable People with Big Emotions","10423",2024,0,FALSE
"Daily Routines: Bath Time","10413",2024,0,FALSE
"Big Feelings & Emotions","10415",2024,0,FALSE
"Animal Train","10412",2024,0,FALSE
"Visit to the Vet Clinic","10438",2024,0,FALSE
"Alphabet Truck","10421",2024,0,FALSE
"Daily Routines: Eating & Bedtime","10414",2024,0,FALSE
"Monster Truck","60402",2024,1,FALSE
"Emergency Rescue Helicopter","60405",2024,3,FALSE
"Emergency Ambulance","60403",2024,2,FALSE
"Burger Truck","60404",2024,2,FALSE
"Race Car and Car Carrier Truck","60406",2024,2,FALSE
"Go-Karts and Race Drivers","60400",2024,2,FALSE
"Race Car","60399",2024,2,FALSE
"Construction Steamroller","60401",2024,1,FALSE
"Fire Rescue Helicopter","60411",2024,1,FALSE
"Fire Station with Fire Truck","60414",2024,5,FALSE
"Fire Rescue Motorcycle","60410",2024,2,FALSE
"Fire Rescue Plane","60413",2024,3,FALSE
"4x4 Fire Truck with Rescue Boat","60412",2024,3,FALSE
"Police Prison Island","60419",2024,7,FALSE
